sample	role	cohort	condition	paper_fna_c2_pct	sensitivity_group	selection_order
DRR171791_SAMD00114807_c2Positive_rank78_head3000k	paper_c2_positive	YachidaS_2019	control	0.00032	paper_c2_positive_abundance_quantile	1
DRR171765_SAMD00114773_c2Positive_rank69_head3000k	paper_c2_positive	YachidaS_2019	control	0.00074	paper_c2_positive_abundance_quantile	2
DRR171829_SAMD00114854_c2Positive_rank61_head3000k	paper_c2_positive	YachidaS_2019	control	0.00147	paper_c2_positive_abundance_quantile	3
DRR171532_SAMD00164842_c2Positive_rank52_head3000k	paper_c2_positive	YachidaS_2019	disease	0.0027	paper_c2_positive_abundance_quantile	4
DRR127514_SAMD00114760_c2Positive_rank44_head3000k	paper_c2_positive	YachidaS_2019	disease	0.00565	paper_c2_positive_abundance_quantile	5
DRR171802_SAMD00114819_c2Positive_rank35_head3000k	paper_c2_positive	YachidaS_2019	control	0.00928	paper_c2_positive_abundance_quantile	6
DRR171674_SAMD00164984_c2Positive_rank27_head3000k	paper_c2_positive	YachidaS_2019	disease	0.01683	paper_c2_positive_abundance_quantile	7
DRR127720_SAMD00114966_c2Positive_rank18_head3000k	paper_c2_positive	YachidaS_2019	disease	0.04931	paper_c2_positive_abundance_quantile	8
DRR127579_SAMD00114825_c2Positive_rank10_head3000k	paper_c2_positive	YachidaS_2019	disease	0.11984	paper_c2_positive_abundance_quantile	9
DRR127674_SAMD00114920_c2Positive_rank1_head3000k	paper_c2_positive	YachidaS_2019	disease	0.5099	paper_c2_positive_abundance_quantile	10
DRR127478_SAMD00114724_zeroFna_rank179_head3000k	paper_zero_fna	YachidaS_2019	disease	0	condition_matched_zero_fna	1
DRR127488_SAMD00114734_zeroFna_rank3_head3000k	paper_zero_fna	YachidaS_2019	control	0	condition_matched_zero_fna	2
DRR171519_SAMD00164829_zeroFna_rank298_head3000k	paper_zero_fna	YachidaS_2019	disease	0	condition_matched_zero_fna	3
DRR171581_SAMD00164891_zeroFna_rank36_head3000k	paper_zero_fna	YachidaS_2019	control	0	condition_matched_zero_fna	4
DRR171622_SAMD00164932_zeroFna_rank148_head3000k	paper_zero_fna	YachidaS_2019	disease	0	condition_matched_zero_fna	5
DRR171732_SAMD00114729_zeroFna_rank70_head3000k	paper_zero_fna	YachidaS_2019	disease	0	condition_matched_zero_fna	6
DRR171733_SAMD00114730_zeroFna_rank18_head3000k	paper_zero_fna	YachidaS_2019	control	0	condition_matched_zero_fna	7
DRR171848_SAMD00114879_zeroFna_rank95_head3000k	paper_zero_fna	YachidaS_2019	disease	0	condition_matched_zero_fna	8
DRR171962_SAMD00115030_zeroFna_rank371_head3000k	paper_zero_fna	YachidaS_2019	disease	0	condition_matched_zero_fna	9
DRR173017_SAMD00136653_zeroFna_rank377_head3000k	paper_zero_fna	YachidaS_2019	control	0	condition_matched_zero_fna	10
