sample	cohort	condition	role	tool	input_reads_used	expected_c2_reads_at_depth	candidate_reads	strict_c2_best_reads	c2_tied_best_reads	c2_supported_reads	non_c2_best_reads	unmapped_reads	strict_c2_best_rate	c2_tied_best_rate	c2_supported_rate	non_c2_best_rate	unmapped_rate	candidate_reads_per_million	strict_c2_best_reads_per_million	c2_supported_reads_per_million
2018_Wirbel_CCMD13934959ST-21-0_c2Positive_rank23_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	21.9	2435	382	180	562	102	1771	0.156879	0.073922	0.230801	0.041889	0.72731	811.6666666666667	127.33333333333333	187.33333333333331
2018_Wirbel_CCMD13934959ST-21-0_c2Positive_rank23_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	21.9	131	127	2	129	2	0	0.969466	0.015267	0.984733	0.015267	0.0	43.666666666666664	42.33333333333333	43.0
2018_Wirbel_CCMD14479708ST-21-0_zeroFna_rank29_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	355	111	26	137	2	216	0.312676	0.073239	0.385915	0.005634	0.608451	118.33333333333333	37.0	45.666666666666664
2018_Wirbel_CCMD14479708ST-21-0_zeroFna_rank29_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	1585	65	15	80	14	1491	0.041009	0.009464	0.050473	0.008833	0.940694	528.3333333333334	21.666666666666668	26.666666666666668
2018_Wirbel_CCMD14479708ST-21-0_zeroFna_rank29_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	61	61	0	61	0	0	1.0	0.0	1.0	0.0	0.0	20.333333333333336	20.333333333333336	20.333333333333336
2018_Wirbel_CCMD15562448ST-11-0_zeroFna_rank70_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	843	456	80	536	24	283	0.540925	0.094899	0.635824	0.02847	0.335706	281.0	152.0	178.66666666666666
2018_Wirbel_CCMD15562448ST-11-0_zeroFna_rank70_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2726	94	55	149	20	2557	0.034483	0.020176	0.054659	0.007337	0.938004	908.6666666666666	31.333333333333332	49.66666666666667
2018_Wirbel_CCMD15562448ST-11-0_zeroFna_rank70_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	288	288	0	288	0	0	1.0	0.0	1.0	0.0	0.0	96.0	96.0	96.0
2018_Wirbel_CCMD17410933ST-11-0_zeroFna_rank41_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	1038	418	115	533	28	477	0.402697	0.11079	0.513487	0.026975	0.459538	346.0	139.33333333333331	177.66666666666666
2018_Wirbel_CCMD17410933ST-11-0_zeroFna_rank41_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2916	26	124	150	30	2736	0.008916	0.042524	0.05144	0.010288	0.938272	972.0	8.666666666666666	50.0
2018_Wirbel_CCMD17410933ST-11-0_zeroFna_rank41_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	335	335	0	335	0	0	1.0	0.0	1.0	0.0	0.0	111.66666666666667	111.66666666666667	111.66666666666667
2018_Wirbel_CCMD18579000ST-11-0_zeroFna_rank76_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	781	356	93	449	20	312	0.455826	0.119078	0.574904	0.025608	0.399488	260.3333333333333	118.66666666666667	149.66666666666666
2018_Wirbel_CCMD18579000ST-11-0_zeroFna_rank76_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2457	36	85	121	31	2305	0.014652	0.034595	0.049247	0.012617	0.938136	819.0	12.0	40.333333333333336
2018_Wirbel_CCMD18579000ST-11-0_zeroFna_rank76_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	268	268	0	268	0	0	1.0	0.0	1.0	0.0	0.0	89.33333333333333	89.33333333333333	89.33333333333333
2018_Wirbel_CCMD18829815ST-11-0_zeroFna_rank68_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	836	329	98	427	26	383	0.393541	0.117225	0.510766	0.0311	0.458134	278.66666666666663	109.66666666666667	142.33333333333334
2018_Wirbel_CCMD18829815ST-11-0_zeroFna_rank68_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2647	33	94	127	27	2493	0.012467	0.035512	0.047979	0.0102	0.941821	882.3333333333334	11.0	42.33333333333333
2018_Wirbel_CCMD18829815ST-11-0_zeroFna_rank68_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	245	244	0	244	1	0	0.995918	0.0	0.995918	0.004082	0.0	81.66666666666667	81.33333333333334	81.33333333333334
2018_Wirbel_CCMD18872694ST-21-0_zeroFna_rank34_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	516	199	60	259	17	240	0.385659	0.116279	0.501938	0.032946	0.465116	172.0	66.33333333333334	86.33333333333334
2018_Wirbel_CCMD18872694ST-21-0_zeroFna_rank34_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	1645	86	56	142	30	1473	0.05228	0.034043	0.086322	0.018237	0.895441	548.3333333333333	28.666666666666668	47.333333333333336
2018_Wirbel_CCMD18872694ST-21-0_zeroFna_rank34_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	114	111	0	111	3	0	0.973684	0.0	0.973684	0.026316	0.0	38.0	37.0	37.0
2018_Wirbel_CCMD19168690ST-11-0_zeroFna_rank86_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	666	282	94	376	17	273	0.423423	0.141141	0.564565	0.025526	0.40991	222.0	94.0	125.33333333333333
2018_Wirbel_CCMD19168690ST-11-0_zeroFna_rank86_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	2384	17	57	74	12	2298	0.007131	0.023909	0.03104	0.005034	0.963926	794.6666666666667	5.666666666666667	24.666666666666664
2018_Wirbel_CCMD19168690ST-11-0_zeroFna_rank86_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	211	211	0	211	0	0	1.0	0.0	1.0	0.0	0.0	70.33333333333334	70.33333333333334	70.33333333333334
2018_Wirbel_CCMD19497912ST-21-0_c2Positive_rank11_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Centrifuger	3000000	570.3	305	145	19	164	5	136	0.47541	0.062295	0.537705	0.016393	0.445902	101.66666666666667	48.333333333333336	54.66666666666667
2018_Wirbel_CCMD19497912ST-21-0_c2Positive_rank11_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	570.3	1855	191	195	386	12	1457	0.102965	0.105121	0.208086	0.006469	0.785445	618.3333333333334	63.666666666666664	128.66666666666666
2018_Wirbel_CCMD19497912ST-21-0_c2Positive_rank11_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	570.3	78	78	0	78	0	0	1.0	0.0	1.0	0.0	0.0	26.0	26.0	26.0
2018_Wirbel_CCMD21593359ST-11-0_c2Positive_rank5_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Centrifuger	3000000	7018.8	1117	603	127	730	73	314	0.539839	0.113697	0.653536	0.065354	0.28111	372.33333333333337	201.0	243.33333333333334
2018_Wirbel_CCMD21593359ST-11-0_c2Positive_rank5_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	7018.8	2730	313	447	760	65	1905	0.114652	0.163736	0.278388	0.02381	0.697802	910.0	104.33333333333334	253.33333333333334
2018_Wirbel_CCMD21593359ST-11-0_c2Positive_rank5_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	7018.8	240	225	3	228	12	0	0.9375	0.0125	0.95	0.05	0.0	80.0	75.0	76.0
2018_Wirbel_CCMD21703880ST-11-0_c2Positive_rank13_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Centrifuger	3000000	423.3	603	330	26	356	3	244	0.547264	0.043118	0.590381	0.004975	0.404643	201.0	110.0	118.66666666666667
2018_Wirbel_CCMD21703880ST-11-0_c2Positive_rank13_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	423.3	1882	168	102	270	10	1602	0.089267	0.054198	0.143464	0.005313	0.851222	627.3333333333334	56.0	90.0
2018_Wirbel_CCMD21703880ST-11-0_c2Positive_rank13_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	423.3	186	185	0	185	1	0	0.994624	0.0	0.994624	0.005376	0.0	62.0	61.66666666666667	61.66666666666667
2018_Wirbel_CCMD22852639ST-11-0_zeroFna_rank52_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	422	217	74	291	21	110	0.514218	0.175355	0.689573	0.049763	0.260664	140.66666666666669	72.33333333333333	97.0
2018_Wirbel_CCMD22852639ST-11-0_zeroFna_rank52_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2154	16	60	76	21	2057	0.007428	0.027855	0.035283	0.009749	0.954968	718.0	5.333333333333334	25.333333333333332
2018_Wirbel_CCMD22852639ST-11-0_zeroFna_rank52_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	175	174	1	175	0	0	0.994286	0.005714	1.0	0.0	0.0	58.333333333333336	58.0	58.333333333333336
2018_Wirbel_CCMD23101338ST-21-0_c2Positive_rank16_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Centrifuger	3000000	89.7	569	252	61	313	1	255	0.442882	0.107206	0.550088	0.001757	0.448155	189.66666666666669	84.0	104.33333333333334
2018_Wirbel_CCMD23101338ST-21-0_c2Positive_rank16_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	89.7	1658	48	111	159	4	1495	0.028951	0.066948	0.095899	0.002413	0.901689	552.6666666666667	16.0	53.0
2018_Wirbel_CCMD23101338ST-21-0_c2Positive_rank16_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	89.7	169	169	0	169	0	0	1.0	0.0	1.0	0.0	0.0	56.33333333333333	56.33333333333333	56.33333333333333
2018_Wirbel_CCMD23541216ST-11-0_zeroFna_rank85_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	823	364	95	459	23	341	0.442284	0.115431	0.557716	0.027947	0.414338	274.33333333333337	121.33333333333333	153.0
2018_Wirbel_CCMD23541216ST-11-0_zeroFna_rank85_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2788	43	93	136	35	2617	0.015423	0.033357	0.04878	0.012554	0.938666	929.3333333333334	14.333333333333334	45.333333333333336
2018_Wirbel_CCMD23541216ST-11-0_zeroFna_rank85_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	282	282	0	282	0	0	1.0	0.0	1.0	0.0	0.0	94.0	94.0	94.0
2018_Wirbel_CCMD25475945ST-11-0_zeroFna_rank63_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	812	373	102	475	29	308	0.45936	0.125616	0.584975	0.035714	0.37931	270.6666666666667	124.33333333333334	158.33333333333331
2018_Wirbel_CCMD25475945ST-11-0_zeroFna_rank63_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2743	79	73	152	29	2562	0.028801	0.026613	0.055414	0.010572	0.934014	914.3333333333333	26.333333333333336	50.666666666666664
2018_Wirbel_CCMD25475945ST-11-0_zeroFna_rank63_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	241	241	0	241	0	0	1.0	0.0	1.0	0.0	0.0	80.33333333333334	80.33333333333334	80.33333333333334
2018_Wirbel_CCMD25511638ST-21-0_zeroFna_rank28_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	316	102	22	124	4	188	0.322785	0.06962	0.392405	0.012658	0.594937	105.33333333333334	34.0	41.333333333333336
2018_Wirbel_CCMD25511638ST-21-0_zeroFna_rank28_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	1435	20	11	31	17	1387	0.013937	0.007666	0.021603	0.011847	0.966551	478.3333333333333	6.666666666666667	10.333333333333334
2018_Wirbel_CCMD25511638ST-21-0_zeroFna_rank28_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	60	59	1	60	0	0	0.983333	0.016667	1.0	0.0	0.0	20.0	19.666666666666664	20.0
2018_Wirbel_CCMD25963797ST-21-0_zeroFna_rank12_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	491	213	46	259	12	220	0.433809	0.093686	0.527495	0.02444	0.448065	163.66666666666666	71.0	86.33333333333334
2018_Wirbel_CCMD25963797ST-21-0_zeroFna_rank12_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	1566	14	39	53	6	1507	0.00894	0.024904	0.033844	0.003831	0.962324	522.0	4.666666666666666	17.666666666666668
2018_Wirbel_CCMD25963797ST-21-0_zeroFna_rank12_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	163	163	0	163	0	0	1.0	0.0	1.0	0.0	0.0	54.33333333333333	54.33333333333333	54.33333333333333
2018_Wirbel_CCMD26625622ST-11-0_zeroFna_rank67_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	780	306	91	397	26	357	0.392308	0.116667	0.508974	0.033333	0.457692	260.0	102.0	132.33333333333334
2018_Wirbel_CCMD26625622ST-11-0_zeroFna_rank67_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2635	24	104	128	23	2484	0.009108	0.039469	0.048577	0.008729	0.942694	878.3333333333333	8.0	42.66666666666667
2018_Wirbel_CCMD26625622ST-11-0_zeroFna_rank67_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	248	244	4	248	0	0	0.983871	0.016129	1.0	0.0	0.0	82.66666666666667	81.33333333333334	82.66666666666667
2018_Wirbel_CCMD26709089ST-21-0_zeroFna_rank13_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	405	137	42	179	1	225	0.338272	0.103704	0.441975	0.002469	0.555556	135.0	45.666666666666664	59.66666666666667
2018_Wirbel_CCMD26709089ST-21-0_zeroFna_rank13_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	1514	11	40	51	4	1459	0.007266	0.02642	0.033686	0.002642	0.963672	504.66666666666674	3.6666666666666665	17.0
2018_Wirbel_CCMD26709089ST-21-0_zeroFna_rank13_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	112	112	0	112	0	0	1.0	0.0	1.0	0.0	0.0	37.33333333333333	37.33333333333333	37.33333333333333
2018_Wirbel_CCMD26925580ST-21-0_zeroFna_rank35_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	444	207	36	243	3	198	0.466216	0.081081	0.547297	0.006757	0.445946	148.0	69.0	81.0
2018_Wirbel_CCMD26925580ST-21-0_zeroFna_rank35_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	1604	16	23	39	5	1560	0.009975	0.014339	0.024314	0.003117	0.972569	534.6666666666667	5.333333333333334	13.0
2018_Wirbel_CCMD26925580ST-21-0_zeroFna_rank35_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	160	160	0	160	0	0	1.0	0.0	1.0	0.0	0.0	53.333333333333336	53.333333333333336	53.333333333333336
2018_Wirbel_CCMD27463710ST-11-0_zeroFna_rank7_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Centrifuger	3000000	0.0	558	269	26	295	4	259	0.482079	0.046595	0.528674	0.007168	0.464158	186.0	89.66666666666667	98.33333333333333
2018_Wirbel_CCMD27463710ST-11-0_zeroFna_rank7_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Chimera	3000000	0.0	1853	25	41	66	6	1781	0.013492	0.022126	0.035618	0.003238	0.961144	617.6666666666666	8.333333333333334	22.0
2018_Wirbel_CCMD27463710ST-11-0_zeroFna_rank7_head3000k	2018 Wirbel et al	disease	paper_zero_fna	Kraken2_LF01	3000000	0.0	197	197	0	197	0	0	1.0	0.0	1.0	0.0	0.0	65.66666666666667	65.66666666666667	65.66666666666667
2018_Wirbel_CCMD27867141ST-11-0_zeroFna_rank39_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	634	282	57	339	11	284	0.444795	0.089905	0.5347	0.01735	0.44795	211.33333333333334	94.0	113.0
2018_Wirbel_CCMD27867141ST-11-0_zeroFna_rank39_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2568	15	57	72	21	2475	0.005841	0.022196	0.028037	0.008178	0.963785	856.0	5.0	24.0
2018_Wirbel_CCMD27867141ST-11-0_zeroFna_rank39_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	215	215	0	215	0	0	1.0	0.0	1.0	0.0	0.0	71.66666666666667	71.66666666666667	71.66666666666667
2018_Wirbel_CCMD28738636ST-11-0_zeroFna_rank95_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	771	289	113	402	18	351	0.374838	0.146563	0.521401	0.023346	0.455253	257.0	96.33333333333333	134.0
2018_Wirbel_CCMD28738636ST-11-0_zeroFna_rank95_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2720	20	115	135	19	2566	0.007353	0.042279	0.049632	0.006985	0.943382	906.6666666666666	6.666666666666667	45.0
2018_Wirbel_CCMD28738636ST-11-0_zeroFna_rank95_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	235	235	0	235	0	0	1.0	0.0	1.0	0.0	0.0	78.33333333333333	78.33333333333333	78.33333333333333
2018_Wirbel_CCMD29706695ST-11-0_zeroFna_rank75_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	690	285	58	343	19	328	0.413043	0.084058	0.497101	0.027536	0.475362	230.0	95.0	114.33333333333334
2018_Wirbel_CCMD29706695ST-11-0_zeroFna_rank75_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2489	30	62	92	30	2367	0.012053	0.02491	0.036963	0.012053	0.950984	829.6666666666667	10.0	30.666666666666668
2018_Wirbel_CCMD29706695ST-11-0_zeroFna_rank75_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	205	205	0	205	0	0	1.0	0.0	1.0	0.0	0.0	68.33333333333333	68.33333333333333	68.33333333333333
2018_Wirbel_CCMD30626189ST-11-0_zeroFna_rank48_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	555	168	40	208	8	339	0.302703	0.072072	0.374775	0.014414	0.610811	185.0	56.0	69.33333333333333
2018_Wirbel_CCMD30626189ST-11-0_zeroFna_rank48_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2530	9	32	41	10	2479	0.003557	0.012648	0.016206	0.003953	0.979842	843.3333333333333	3.0	13.666666666666668
2018_Wirbel_CCMD30626189ST-11-0_zeroFna_rank48_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	131	131	0	131	0	0	1.0	0.0	1.0	0.0	0.0	43.666666666666664	43.666666666666664	43.666666666666664
2018_Wirbel_CCMD30627121ST-11-0_zeroFna_rank73_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	848	426	46	472	27	349	0.502358	0.054245	0.556604	0.03184	0.411557	282.6666666666667	142.0	157.33333333333331
2018_Wirbel_CCMD30627121ST-11-0_zeroFna_rank73_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2997	219	259	478	105	2414	0.073073	0.08642	0.159493	0.035035	0.805472	999.0000000000001	73.0	159.33333333333331
2018_Wirbel_CCMD30627121ST-11-0_zeroFna_rank73_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	253	253	0	253	0	0	1.0	0.0	1.0	0.0	0.0	84.33333333333333	84.33333333333333	84.33333333333333
2018_Wirbel_CCMD31009081ST-11-0_zeroFna_rank65_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	784	354	89	443	14	327	0.451531	0.11352	0.565051	0.017857	0.417092	261.3333333333333	118.0	147.66666666666666
2018_Wirbel_CCMD31009081ST-11-0_zeroFna_rank65_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2406	25	59	84	14	2308	0.010391	0.024522	0.034913	0.005819	0.959268	802.0	8.333333333333334	28.0
2018_Wirbel_CCMD31009081ST-11-0_zeroFna_rank65_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	276	276	0	276	0	0	1.0	0.0	1.0	0.0	0.0	92.0	92.0	92.0
2018_Wirbel_CCMD31134579ST-11-0_zeroFna_rank58_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	648	249	59	308	20	320	0.384259	0.091049	0.475309	0.030864	0.493827	216.0	83.0	102.66666666666666
2018_Wirbel_CCMD31134579ST-11-0_zeroFna_rank58_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2562	50	57	107	27	2428	0.019516	0.022248	0.041764	0.010539	0.947697	854.0	16.666666666666668	35.66666666666667
2018_Wirbel_CCMD31134579ST-11-0_zeroFna_rank58_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	168	165	3	168	0	0	0.982143	0.017857	1.0	0.0	0.0	56.0	55.0	56.0
2018_Wirbel_CCMD32288175ST-11-0_zeroFna_rank82_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	977	418	92	510	36	431	0.42784	0.094166	0.522006	0.036847	0.441146	325.66666666666663	139.33333333333331	170.0
2018_Wirbel_CCMD32288175ST-11-0_zeroFna_rank82_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	3025	105	126	231	77	2717	0.034711	0.041653	0.076364	0.025455	0.898182	1008.3333333333333	35.0	77.0
2018_Wirbel_CCMD32288175ST-11-0_zeroFna_rank82_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	268	268	0	268	0	0	1.0	0.0	1.0	0.0	0.0	89.33333333333333	89.33333333333333	89.33333333333333
2018_Wirbel_CCMD32965613ST-11-0_zeroFna_rank45_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	1060	491	138	629	31	400	0.463208	0.130189	0.593396	0.029245	0.377358	353.3333333333333	163.66666666666666	209.66666666666669
2018_Wirbel_CCMD32965613ST-11-0_zeroFna_rank45_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2702	54	120	174	32	2496	0.019985	0.044412	0.064397	0.011843	0.92376	900.6666666666667	18.0	58.0
2018_Wirbel_CCMD32965613ST-11-0_zeroFna_rank45_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	360	360	0	360	0	0	1.0	0.0	1.0	0.0	0.0	120.0	120.0	120.0
2018_Wirbel_CCMD34381688ST-21-0_c2Positive_rank21_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Centrifuger	3000000	35.7	395	151	47	198	1	196	0.382278	0.118987	0.501266	0.002532	0.496203	131.66666666666669	50.333333333333336	66.0
2018_Wirbel_CCMD34381688ST-21-0_c2Positive_rank21_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	35.7	1637	51	54	105	1	1531	0.031155	0.032987	0.064142	0.000611	0.935247	545.6666666666666	17.0	35.0
2018_Wirbel_CCMD34381688ST-21-0_c2Positive_rank21_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	35.7	106	106	0	106	0	0	1.0	0.0	1.0	0.0	0.0	35.333333333333336	35.333333333333336	35.333333333333336
2018_Wirbel_CCMD35081859ST-11-0_zeroFna_rank53_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	1129	617	180	797	26	306	0.546501	0.159433	0.705934	0.023029	0.271036	376.3333333333333	205.66666666666666	265.66666666666663
2018_Wirbel_CCMD35081859ST-11-0_zeroFna_rank53_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2832	27	149	176	32	2624	0.009534	0.052613	0.062147	0.011299	0.926554	944.0	9.0	58.666666666666664
2018_Wirbel_CCMD35081859ST-11-0_zeroFna_rank53_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	502	502	0	502	0	0	1.0	0.0	1.0	0.0	0.0	167.33333333333331	167.33333333333331	167.33333333333331
2018_Wirbel_CCMD35633353ST-11-0_c2Positive_rank17_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Centrifuger	3000000	64.2	668	313	60	373	12	283	0.468563	0.08982	0.558383	0.017964	0.423653	222.66666666666666	104.33333333333334	124.33333333333334
2018_Wirbel_CCMD35633353ST-11-0_c2Positive_rank17_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	64.2	1841	49	81	130	10	1701	0.026616	0.043998	0.070614	0.005432	0.923954	613.6666666666666	16.333333333333332	43.333333333333336
2018_Wirbel_CCMD35633353ST-11-0_c2Positive_rank17_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	64.2	213	213	0	213	0	0	1.0	0.0	1.0	0.0	0.0	71.0	71.0	71.0
2018_Wirbel_CCMD35801800ST-11-0_zeroFna_rank50_head3000k	2018 Wirbel et al	control	paper_zero_fna	Centrifuger	3000000	0.0	823	293	104	397	26	400	0.356015	0.126367	0.482382	0.031592	0.486027	274.33333333333337	97.66666666666667	132.33333333333334
2018_Wirbel_CCMD35801800ST-11-0_zeroFna_rank50_head3000k	2018 Wirbel et al	control	paper_zero_fna	Chimera	3000000	0.0	2875	41	145	186	31	2658	0.014261	0.050435	0.064696	0.010783	0.924522	958.3333333333333	13.666666666666668	62.0
2018_Wirbel_CCMD35801800ST-11-0_zeroFna_rank50_head3000k	2018 Wirbel et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	245	245	0	245	0	0	1.0	0.0	1.0	0.0	0.0	81.66666666666667	81.66666666666667	81.66666666666667
2018_Wirbel_CCMD35802077ST-21-0_c2Positive_rank22_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Centrifuger	3000000	24.9	504	204	59	263	1	240	0.404762	0.117063	0.521825	0.001984	0.47619	168.0	68.0	87.66666666666667
2018_Wirbel_CCMD35802077ST-21-0_c2Positive_rank22_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Chimera	3000000	24.9	1633	13	39	52	0	1581	0.007961	0.023882	0.031843	0.0	0.968157	544.3333333333333	4.333333333333333	17.333333333333332
2018_Wirbel_CCMD35802077ST-21-0_c2Positive_rank22_head3000k	2018 Wirbel et al	disease	paper_c2_positive	Kraken2_LF01	3000000	24.9	158	158	0	158	0	0	1.0	0.0	1.0	0.0	0.0	52.66666666666667	52.66666666666667	52.66666666666667
