sample	cohort	condition	role	tool	input_reads_used	expected_c2_reads_at_depth	candidate_reads	strict_c2_best_reads	c2_tied_best_reads	c2_supported_reads	non_c2_best_reads	unmapped_reads	strict_c2_best_rate	c2_tied_best_rate	c2_supported_rate	non_c2_best_rate	unmapped_rate	candidate_reads_per_million	strict_c2_best_reads_per_million	c2_supported_reads_per_million
2015_Yu_SZAXPI015229-15_zeroFna_rank32_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	3302	306	129	435	21	2846	0.092671	0.039067	0.131738	0.00636	0.861902	1100.6666666666667	102.0	145.0
2015_Yu_SZAXPI015229-15_zeroFna_rank32_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	19	19	0	19	0	0	1.0	0.0	1.0	0.0	0.0	6.333333333333333	6.333333333333333	6.333333333333333
2015_Yu_SZAXPI015230-16_zeroFna_rank7_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	649	284	70	354	4	291	0.437596	0.107858	0.545455	0.006163	0.448382	216.33333333333331	94.66666666666667	118.0
2015_Yu_SZAXPI015230-16_zeroFna_rank7_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	2046	34	98	132	13	1901	0.016618	0.047898	0.064516	0.006354	0.92913	682.0	11.333333333333334	44.0
2015_Yu_SZAXPI015230-16_zeroFna_rank7_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	184	184	0	184	0	0	1.0	0.0	1.0	0.0	0.0	61.333333333333336	61.333333333333336	61.333333333333336
2015_Yu_SZAXPI015231-17_zeroFna_rank6_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	3000000	0.0	308	96	17	113	2	193	0.311688	0.055195	0.366883	0.006494	0.626623	102.66666666666666	32.0	37.66666666666667
2015_Yu_SZAXPI015231-17_zeroFna_rank6_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	3000000	0.0	1929	15	33	48	6	1875	0.007776	0.017107	0.024883	0.00311	0.972006	643.0	5.0	16.0
2015_Yu_SZAXPI015231-17_zeroFna_rank6_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	3000000	0.0	50	50	0	50	0	0	1.0	0.0	1.0	0.0	0.0	16.666666666666668	16.666666666666668	16.666666666666668
2015_Yu_SZAXPI015232-18_c2Positive_rank29_head3000k	2015 Yu et al	control	paper_c2_positive	Centrifuger	3000000	16.2	491	191	39	230	9	252	0.389002	0.07943	0.468432	0.01833	0.513238	163.66666666666666	63.666666666666664	76.66666666666667
2015_Yu_SZAXPI015232-18_c2Positive_rank29_head3000k	2015 Yu et al	control	paper_c2_positive	Chimera	3000000	16.2	1931	85	243	328	19	1584	0.044019	0.125842	0.16986	0.009839	0.8203	643.6666666666666	28.333333333333332	109.33333333333334
2015_Yu_SZAXPI015232-18_c2Positive_rank29_head3000k	2015 Yu et al	control	paper_c2_positive	Kraken2_LF01	3000000	16.2	64	64	0	64	0	0	1.0	0.0	1.0	0.0	0.0	21.333333333333336	21.333333333333336	21.333333333333336
