sample	cohort	condition	role	tool	signal_unit	input_reads_used	paper_fna_c2_percent	expected_c2_reads_at_depth	fna_c2_signal	fna_c1_signal	non_c1c2_signal	other_or_unmapped_signal
2015_Yu_SZAXPI003415-12_zeroFna_rank27_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003416-4_c2Positive_rank31_head3000k	2015 Yu et al	disease	paper_c2_positive	Centrifuger	reads_per_million	3000000	0.00023	6.9	145.333333	29.333333	169.666667	999655.666667
2015_Yu_SZAXPI003416-4_c2Positive_rank31_head3000k	2015 Yu et al	disease	paper_c2_positive	Chimera	reads_per_million	3000000	0.00023	6.9	595.0	136.0	1475.666667	997793.333333
2015_Yu_SZAXPI003416-4_c2Positive_rank31_head3000k	2015 Yu et al	disease	paper_c2_positive	Kraken2_LF01	reads_per_million	3000000	0.00023	6.9	31.333333	0.0	11.333333	999957.333333
2015_Yu_SZAXPI003416-4_c2Positive_rank31_head3000k	2015 Yu et al	disease	paper_c2_positive	sylph	sequence_abundance_pct	3000000	0.00023	6.9	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI003417-4_zeroFna_rank35_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	126.666667	26.666667	113.666667	999733.0
2015_Yu_SZAXPI003417-4_zeroFna_rank35_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	678.0	163.666667	1174.333333	997984.0
2015_Yu_SZAXPI003417-4_zeroFna_rank35_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	22.333333	0.0	0.666667	999977.0
2015_Yu_SZAXPI003417-4_zeroFna_rank35_head3000k	2015 Yu et al	control	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	100.0
2015_Yu_SZAXPI003418-8_zeroFna_rank34_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	200.666667	25.666667	229.333333	999544.333333
2015_Yu_SZAXPI003418-8_zeroFna_rank34_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	710.666667	141.666667	1381.333333	997766.333333
2015_Yu_SZAXPI003418-8_zeroFna_rank34_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	25.0	0.0	2.333333	999972.666667
2015_Yu_SZAXPI003418-8_zeroFna_rank34_head3000k	2015 Yu et al	disease	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003419-6_zeroFna_rank16_head3000k	2015 Yu et al	control	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	88.333333	18.333333	88.0	999805.333333
2015_Yu_SZAXPI003419-6_zeroFna_rank16_head3000k	2015 Yu et al	control	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	646.666667	138.333333	1180.333333	998034.666667
2015_Yu_SZAXPI003419-6_zeroFna_rank16_head3000k	2015 Yu et al	control	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	19.333333	0.0	0.666667	999980.0
2015_Yu_SZAXPI003419-6_zeroFna_rank16_head3000k	2015 Yu et al	control	paper_zero_fna	sylph	sequence_abundance_pct	3000000	0.0	0.0	0.0	0.0	0.0	0.0
2015_Yu_SZAXPI003420-4_zeroFna_rank12_head3000k	2015 Yu et al	disease	paper_zero_fna	Centrifuger	reads_per_million	3000000	0.0	0.0	130.0	38.0	162.666667	999669.333333
2015_Yu_SZAXPI003420-4_zeroFna_rank12_head3000k	2015 Yu et al	disease	paper_zero_fna	Chimera	reads_per_million	3000000	0.0	0.0	664.0	150.666667	1248.333333	997937.0
2015_Yu_SZAXPI003420-4_zeroFna_rank12_head3000k	2015 Yu et al	disease	paper_zero_fna	Kraken2_LF01	reads_per_million	3000000	0.0	0.0	21.666667	0.0	0.0	999978.333333
