audit_scheme	tool	metric	threshold_expected_c2_reads	n_positive	n_negative	auc	auc_ci_low	auc_ci_high
exact_dedup_per_clade_candidate	kraken2	strict_c2_best_reads_per_million	0	30	30	0.625556	0.480000	0.760000
exact_dedup_per_clade_candidate	kraken2	strict_c2_best_reads_per_million	500	12	30	0.697222	0.522222	0.850000
exact_dedup_per_clade_candidate	kraken2	strict_c2_best_reads_per_million	1000	9	30	0.748148	0.574074	0.896296
exact_dedup_per_clade_candidate	kraken2	strict_c2_best_reads_per_million	2000	7	30	0.742857	0.547619	0.904762
exact_dedup_per_clade_candidate	kraken2	strict_c2_best_reads_per_million	5000	4	30	0.900000	0.750000	1.000000
exact_dedup_per_clade_candidate	kraken2	c2_supported_reads_per_million	0	30	30	0.632222	0.487764	0.766667
exact_dedup_per_clade_candidate	kraken2	c2_supported_reads_per_million	500	12	30	0.705556	0.530556	0.855556
exact_dedup_per_clade_candidate	kraken2	c2_supported_reads_per_million	1000	9	30	0.759259	0.588796	0.903704
exact_dedup_per_clade_candidate	kraken2	c2_supported_reads_per_million	2000	7	30	0.757143	0.571429	0.914286
exact_dedup_per_clade_candidate	kraken2	c2_supported_reads_per_million	5000	4	30	0.900000	0.750000	1.000000
exact_dedup_per_clade_all_reads	direct_minimap2	strict_c2_best_reads_per_million	0	30	30	0.792222	0.670542	0.895556
exact_dedup_per_clade_all_reads	direct_minimap2	strict_c2_best_reads_per_million	500	12	30	0.948611	0.869444	1.000000
exact_dedup_per_clade_all_reads	direct_minimap2	strict_c2_best_reads_per_million	1000	9	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_all_reads	direct_minimap2	strict_c2_best_reads_per_million	2000	7	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_all_reads	direct_minimap2	strict_c2_best_reads_per_million	5000	4	30	1.000000	1.000000	1.000000
exact_dedup_per_clade_all_reads	direct_minimap2	c2_supported_reads_per_million	0	30	30	0.721111	0.583333	0.842222
exact_dedup_per_clade_all_reads	direct_minimap2	c2_supported_reads_per_million	500	12	30	0.827778	0.675000	0.944444
exact_dedup_per_clade_all_reads	direct_minimap2	c2_supported_reads_per_million	1000	9	30	0.929630	0.833333	0.988889
exact_dedup_per_clade_all_reads	direct_minimap2	c2_supported_reads_per_million	2000	7	30	0.942857	0.842857	1.000000
exact_dedup_per_clade_all_reads	direct_minimap2	c2_supported_reads_per_million	5000	4	30	1.000000	1.000000	1.000000
