dataset	sample_id	tool	db	run_elapsed_seconds	resource_max_rss_gb	per_read_truth_mapped_rate_species	per_read_pred_mapped_rate_species	per_read_precision_species	per_read_recall_species	per_read_f1_species	per_read_truth_mapped_rate_genus	per_read_pred_mapped_rate_genus	per_read_precision_genus	per_read_recall_genus	per_read_f1_genus	status	paper_scope	tool_version
prjna637878-supported19-single-read	1001095A	centrifuger	cami_refseq	1417.6168653964996	141.31245040893555	1.0	0.4085698975580136	0.38673236012064693	0.38382656216334193	0.3852739822217429	1.0	0.9398335912338089	0.49209445602583457	0.4883969969751492	0.4902387548928406	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001095A	chimera	cami_refseq	2249.402202129364	74.08194732666016	1.0	0.9907085873862883	0.9719579762947619	0.962927249680306	0.967421538346493	1.0	0.989222465043526	0.9799504339115761	0.9708454471938283	0.9753766926138652	complete	main	1.7
prjna637878-supported19-single-read	1001095A	kraken2	cami_refseq	259.89550399780273	121.48653411865234	1.0	0.382247959414953	0.36150706137953176	0.3586066938464853	0.36005103677760875	1.0	0.9290741046469655	0.4775202549577468	0.4736891147344651	0.47559696959651	complete	main	2.1.3
prjna637878-supported19-single-read	1001099B	centrifuger	cami_refseq	3432.221416950226	141.31117248535156	1.0	0.25531219767765656	0.3685185908052515	0.16780323645193862	0.23060263105858814	1.0	0.3807465050161704	0.6735126333457873	0.30668086356168833	0.42145441010549817	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001099B	chimera	cami_refseq	6660.793364286423	81.63777160644531	1.0	0.10146604383150272	0.35292792792792793	0.035810200604496564	0.06502279540080792	1.0	0.09783500172241741	0.47843677010343677	0.0485450862859179	0.08814631473713248	complete	main	1.7
prjna637878-supported19-single-read	1001099B	kraken2	cami_refseq	611.888379573822	123.63354873657227	1.0	0.25489830966102656	0.3681117291369688	0.16720483394118726	0.22995761680986462	1.0	0.3796038693874373	0.674351305773728	0.3063059097961115	0.42126399919913116	complete	main	2.1.3
prjna637878-supported19-single-read	1001136B	centrifuger	cami_refseq	1557.8011212348938	141.351318359375	1.0	0.6421796892127742	0.43757684020888366	0.4115366320107294	0.4241574417485767	0.9914549826758474	0.8733287616422141	0.8823451230188012	0.8298151617587202	0.8552743192264904	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001136B	chimera	cami_refseq	2547.027316570282	70.59733581542969	1.0	0.840167305577673	0.5422254077014032	0.45556424990970146	0.49513143227577716	0.9914549826758474	0.8242693260323655	0.829387569168107	0.6969227305137539	0.7574069957849101	complete	main	1.7
prjna637878-supported19-single-read	1001136B	kraken2	cami_refseq	348.4189109802246	122.26277160644531	1.0	0.6368101464066909	0.4363790106208416	0.4098749100592278	0.4227119150862321	0.9914549826758474	0.8697002203226935	0.8807571342469981	0.8272439385585331	0.853162228348284	complete	main	2.1.3
prjna637878-supported19-single-read	1001175B	centrifuger	cami_refseq	4504.009344100952	141.24859619140625	1.0	0.6896488060074605	0.5816059449517876	0.5348187189875468	0.5572319503173555	1.0	0.8725850263182519	0.8582378679334974	0.7891970174975526	0.822270757607946	complete	main	1.1.0-r291
prjna637878-supported19-single-read	1001175B	chimera	cami_refseq	5734.947432756424	80.35766983032227	1.0	0.6329731594331626	0.8416895392245982	0.5327668869048368	0.6525115049530523	1.0	0.6327002707937931	0.8899010669937957	0.5632834899580054	0.689887015844807	complete	main	1.7
