tool	metric	threshold_expected_c2_reads	n_positive	n_negative	positive_mean	negative_mean	positive_median	negative_median	auc_c2_positive_vs_zero	auc_ci_low	auc_ci_high	chimera_minus_tool_auc	difference_ci_low	difference_ci_high	difference_p_value	bootstrap_iterations	bootstrap_seed
Kraken2_LF01	raw_candidate_reads_per_million	1000	38	619	104.263158	70.806337	89.666667	65.666667	0.650944	0.566827	0.734780	0.229997	0.143856	0.320412	0.00019998	10000	20260710
Kraken2_LF01	raw_candidate_reads_per_million	2000	26	619	114.692308	70.806337	103.500000	65.666667	0.703741	0.602610	0.796200	0.240990	0.136508	0.351250	0.00019998	10000	20260710
Kraken2_LF01	raw_candidate_reads_per_million	5000	12	619	130.416667	70.806337	118.666667	65.666667	0.761712	0.620152	0.879916	0.176360	0.027868	0.346207	0.0133987	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	0	137	619	78.895377	70.590954	67.666667	65.666667	0.529569	0.480233	0.578641	0.300538	0.251500	0.349062	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	500	50	619	94.120000	70.590954	78.500000	65.666667	0.600937	0.519673	0.682133	0.365363	0.288464	0.440408	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	1000	38	619	103.070175	70.590954	89.166667	65.666667	0.647075	0.562175	0.731295	0.334283	0.253294	0.415634	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	2000	26	619	113.294872	70.590954	101.833333	65.666667	0.700106	0.598604	0.792847	0.292252	0.200478	0.392291	0.00019998	10000	20260710
Kraken2_LF01	audited_c2_supported_reads_per_million	5000	12	619	128.805556	70.590954	115.666667	65.666667	0.757135	0.615776	0.877157	0.237884	0.119681	0.378704	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	0	137	619	78.391727	70.516640	67.666667	65.333333	0.527310	0.477936	0.576330	0.353443	0.300844	0.403972	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	500	50	619	93.093333	70.516640	78.166667	65.333333	0.596688	0.515376	0.678192	0.391082	0.312225	0.469455	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	1000	38	619	101.842105	70.516640	88.500000	65.333333	0.642292	0.556966	0.726385	0.352585	0.269724	0.436508	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	2000	26	619	111.794872	70.516640	99.166667	65.333333	0.694948	0.592483	0.788557	0.303250	0.209890	0.405281	0.00019998	10000	20260710
Kraken2_LF01	audited_strict_c2_best_reads_per_million	5000	12	619	126.916667	70.516640	112.333333	65.333333	0.751212	0.608372	0.873856	0.247442	0.125335	0.390214	0.00019998	10000	20260710
